Datum,Senaste,Öppen,Högst,Lägst,Vol.,+/- %
2017-11-03,"1.677,65","1.672,78","1.678,45","1.672,78","46,53M","0,29"
2017-11-02,"1.672,78","1.672,03","1.674,77","1.665,42","87,58M","0,04"
2017-11-01,"1.672,03","1.671,63","1.681,13","1.671,32","145,31M","0,02"
2017-10-31,"1.671,63","1.662,32","1.675,61","1.662,32","114,45M","0,56"
2017-10-30,"1.662,32","1.665,02","1.667,26","1.659,45","100,17M","-0,16"
2017-10-27,"1.665,02","1.659,04","1.666,07","1.658,79","129,69M","0,38"
2017-10-26,"1.658,79","1.649,74","1.659,65","1.641,28","190,59M","0,55"
2017-10-25,"1.649,74","1.650,46","1.657,42","1.642,19","113,96M","-0,04"
2017-10-24,"1.650,46","1.661,54","1.661,54","1.644,73","132,13M","-0,67"
2017-10-23,"1.661,54","1.667,51","1.669,42","1.660,80","115,60M","-0,36"
2017-10-20,"1.667,51","1.646,96","1.671,41","1.646,68","155,29M","1,25"
2017-10-19,"1.646,96","1.644,73","1.647,32","1.635,46","116,70M","0,14"
2017-10-18,"1.644,73","1.636,94","1.648,70","1.634,21","102,06M","0,48"
2017-10-17,"1.636,94","1.638,33","1.641,30","1.636,09","91,86M","-0,08"
2017-10-16,"1.638,33","1.642,49","1.644,19","1.637,37","84,57M","-0,25"
2017-10-13,"1.642,49","1.644,65","1.644,85","1.638,62","95,58M","-0,13"
2017-10-12,"1.644,65","1.642,29","1.649,42","1.637,80","71,36M","0,18"
2017-10-11,"1.641,70","1.644,34","1.647,22","1.638,22","75,85M","-0,16"
2017-10-10,"1.644,34","1.647,92","1.651,13","1.642,21","78,11M","-0,22"
2017-10-09,"1.647,92","1.646,28","1.653,76","1.646,28","78,35M","0,10"
2017-10-06,"1.646,28","1.653,15","1.655,17","1.643,20","75,92M","-0,42"
2017-10-05,"1.653,15","1.651,09","1.655,97","1.646,33","96,18M","0,12"
2017-10-04,"1.651,09","1.649,18","1.651,73","1.645,57","89,80M","0,12"
2017-10-03,"1.649,18","1.640,65","1.650,46","1.640,65","87,81M","0,52"
2017-10-02,"1.640,65","1.637,82","1.641,65","1.634,69","85,37M","0,17"
2017-09-29,"1.637,82","1.624,98","1.637,82","1.620,97","99,29M","0,79"
2017-09-28,"1.624,98","1.624,57","1.627,31","1.618,85","102,85M","0,07"
2017-09-27,"1.623,77","1.610,76","1.627,69","1.610,76","95,99M","0,81"
2017-09-26,"1.610,76","1.604,10","1.614,12","1.601,86","78,77M","0,42"
2017-09-25,"1.604,10","1.600,77","1.608,49","1.598,84","80,79M","0,21"
2017-09-22,"1.600,77","1.595,91","1.600,77","1.591,70","91,11M","0,28"
2017-09-21,"1.596,31","1.585,38","1.597,56","1.585,38","115,29M","0,69"
2017-09-20,"1.585,38","1.584,43","1.588,48","1.581,90","91,98M","0,06"
2017-09-19,"1.584,43","1.582,78","1.586,21","1.580,77","118,76M","0,10"
2017-09-18,"1.582,78","1.578,87","1.586,82","1.578,31","118,11M","0,25"
2017-09-15,"1.578,87","1.587,53","1.591,32","1.577,29","121,87M","-0,55"
2017-09-14,"1.587,53","1.580,04","1.587,98","1.578,57","89,24M","0,47"
2017-09-13,"1.580,04","1.580,13","1.580,90","1.575,76","83,40M","-0,01"
2017-09-12,"1.580,13","1.572,16","1.581,13","1.572,13","85,89M","0,51"
2017-09-11,"1.572,16","1.552,78","1.573,34","1.552,78","92,46M","1,28"
2017-09-08,"1.552,32","1.553,03","1.553,23","1.545,28","79,86M","-0,05"
2017-09-07,"1.553,03","1.541,27","1.553,87","1.537,74","101,20M","0,76"
2017-09-06,"1.541,27","1.546,99","1.546,99","1.536,45","113,35M","-0,37"
2017-09-05,"1.546,99","1.551,89","1.555,85","1.545,10","86,00M","-0,32"
2017-09-04,"1.551,89","1.558,79","1.558,79","1.546,31","73,33M","-0,44"
2017-09-01,"1.558,79","1.546,86","1.560,87","1.546,86","103,32M","0,77"
2017-08-31,"1.546,86","1.535,96","1.550,55","1.535,96","112,83M","0,71"
2017-08-30,"1.535,96","1.520,90","1.537,88","1.520,90","93,96M","0,99"
2017-08-29,"1.520,90","1.536,88","1.536,88","1.517,77","109,79M","-1,04"
2017-08-28,"1.536,88","1.540,82","1.543,80","1.532,43","61,38M","-0,26"
2017-08-25,"1.540,82","1.537,99","1.551,62","1.537,96","89,24M","0,18"
2017-08-24,"1.537,99","1.542,14","1.546,86","1.537,99","83,30M","-0,27"
2017-08-23,"1.542,14","1.543,76","1.546,82","1.538,73","96,86M","-0,10"
2017-08-22,"1.543,76","1.524,25","1.543,99","1.524,25","104,48M","1,28"
2017-08-21,"1.524,25","1.532,12","1.532,12","1.519,22","75,03M","-0,51"
2017-08-18,"1.532,12","1.540,09","1.540,09","1.524,36","90,82M","-0,52"
2017-08-17,"1.540,09","1.552,16","1.552,51","1.538,72","96,50M","-0,78"
2017-08-16,"1.552,16","1.543,38","1.556,55","1.543,38","84,05M","0,57"
2017-08-15,"1.543,38","1.554,58","1.560,50","1.542,49","75,11M","-0,72"
2017-08-14,"1.554,58","1.538,96","1.556,35","1.538,96","72,86M","1,01"
2017-08-11,"1.538,96","1.554,75","1.554,75","1.535,65","93,94M","-1,02"
2017-08-10,"1.554,75","1.571,12","1.571,12","1.554,75","86,42M","-1,05"
2017-08-09,"1.571,20","1.581,32","1.581,32","1.562,77","77,01M","-0,64"
2017-08-08,"1.581,32","1.575,47","1.583,14","1.571,36","79,77M","0,37"
2017-08-07,"1.575,47","1.573,47","1.578,88","1.569,43","68,24M","0,13"
2017-08-04,"1.573,47","1.559,47","1.577,61","1.556,68","71,39M","0,89"
2017-08-03,"1.559,66","1.563,17","1.567,05","1.554,45","84,01M","-0,23"
2017-08-02,"1.563,20","1.566,31","1.573,45","1.558,95","85,08M","-0,20"
2017-08-01,"1.566,31","1.548,19","1.569,56","1.548,19","94,28M","1,17"
2017-07-31,"1.548,19","1.557,17","1.561,96","1.548,06","94,83M","-0,60"
2017-07-28,"1.557,56","1.570,48","1.570,79","1.550,65","94,33M","-0,82"
2017-07-27,"1.570,48","1.579,81","1.581,11","1.570,23","95,92M","-0,62"
2017-07-26,"1.580,22","1.568,81","1.581,52","1.565,02","87,81M","0,72"
2017-07-25,"1.568,91","1.567,36","1.575,32","1.567,36","100,22M","0,13"
2017-07-24,"1.566,88","1.581,37","1.583,61","1.566,88","111,42M","-0,92"
2017-07-21,"1.581,37","1.597,45","1.597,45","1.574,70","171,59M","-1,03"
2017-07-20,"1.597,84","1.601,32","1.612,53","1.593,15","159,06M","-0,75"
2017-07-19,"1.609,96","1.607,36","1.618,57","1.592,51","157,98M","0,16"
2017-07-18,"1.607,36","1.639,33","1.639,35","1.605,37","182,00M","-1,95"
2017-07-17,"1.639,33","1.646,87","1.651,63","1.629,10","129,12M","-0,46"
2017-07-14,"1.646,83","1.643,07","1.649,83","1.641,41","79,39M","0,26"
2017-07-13,"1.642,48","1.650,63","1.651,15","1.640,45","77,19M","-0,49"
2017-07-12,"1.650,59","1.621,57","1.650,70","1.621,57","85,82M","1,79"
2017-07-11,"1.621,57","1.624,81","1.631,29","1.620,69","73,04M","-0,20"
2017-07-10,"1.624,81","1.617,00","1.627,81","1.617,00","65,47M","0,48"
2017-07-07,"1.617,00","1.620,96","1.623,17","1.614,64","65,63M","-0,25"
2017-07-06,"1.620,99","1.627,21","1.627,21","1.609,98","87,85M","-0,38"
2017-07-05,"1.627,21","1.621,71","1.629,27","1.614,22","87,67M","0,34"
2017-07-04,"1.621,67","1.627,01","1.627,29","1.617,48","73,25M","-0,35"
2017-07-03,"1.627,41","1.602,70","1.628,55","1.602,70","83,97M","1,55"
2017-06-30,"1.602,53","1.613,22","1.620,48","1.602,53","118,72M","-0,66"
2017-06-29,"1.613,22","1.630,98","1.643,72","1.612,39","130,04M","-1,09"
2017-06-28,"1.630,98","1.628,54","1.630,98","1.611,80","98,20M","0,15"
2017-06-27,"1.628,54","1.643,52","1.643,52","1.628,54","93,75M","-0,91"
2017-06-26,"1.643,52","1.645,46","1.654,88","1.641,23","90,16M","-0,11"
2017-06-22,"1.645,36","1.641,69","1.645,36","1.634,19","93,41M","0,22"
2017-06-21,"1.641,71","1.647,67","1.647,67","1.631,34","99,64M","-0,36"
2017-06-20,"1.647,67","1.653,72","1.658,87","1.647,67","95,89M","-0,35"
2017-06-19,"1.653,39","1.636,78","1.655,08","1.636,78","99,92M","1,07"
2017-06-16,"1.635,93","1.625,82","1.638,42","1.625,82","145,07M","0,67"
2017-06-15,"1.624,97","1.641,52","1.641,52","1.616,22","138,56M","-0,89"
2017-06-14,"1.639,60","1.649,06","1.657,20","1.638,38","121,16M","-0,55"
2017-06-13,"1.648,61","1.638,80","1.653,52","1.638,80","105,79M","0,60"
2017-06-12,"1.638,80","1.654,65","1.654,65","1.635,98","139,65M","-0,97"
2017-06-09,"1.654,80","1.643,77","1.656,09","1.642,20","125,95M","0,67"
2017-06-08,"1.643,77","1.640,54","1.651,72","1.640,15","127,13M","0,20"
2017-06-07,"1.640,54","1.637,45","1.648,47","1.630,68","130,78M","0,16"
2017-06-05,"1.637,90","1.647,53","1.649,30","1.637,85","60,23M","-0,53"
2017-06-02,"1.646,66","1.644,21","1.656,02","1.644,21","103,34M","0,33"
2017-06-01,"1.641,32","1.639,30","1.646,81","1.636,01","100,02M","0,13"
2017-05-31,"1.639,11","1.639,74","1.650,26","1.635,29","169,79M","-0,04"
2017-05-30,"1.639,74","1.631,80","1.640,08","1.623,86","88,23M","0,48"
2017-05-29,"1.631,91","1.635,77","1.636,02","1.629,83","51,52M","-0,24"
2017-05-26,"1.635,77","1.638,99","1.640,12","1.626,44","106,29M","-0,19"
2017-05-24,"1.638,89","1.641,70","1.641,70","1.634,25","62,63M","-0,17"
2017-05-23,"1.641,70","1.629,18","1.641,77","1.628,79","97,82M","0,77"
2017-05-22,"1.629,21","1.630,30","1.635,61","1.626,03","102,02M","0,00"
2017-05-19,"1.629,21","1.616,14","1.631,81","1.616,14","108,14M","0,86"
2017-05-18,"1.615,27","1.627,11","1.628,52","1.604,29","141,30M","-0,80"
2017-05-17,"1.628,37","1.653,06","1.653,06","1.624,55","106,04M","-1,49"
2017-05-16,"1.653,06","1.649,84","1.657,13","1.646,77","92,87M","0,20"
2017-05-15,"1.649,84","1.647,26","1.650,73","1.644,74","87,42M","0,21"
2017-05-12,"1.646,45","1.643,83","1.647,28","1.640,79","85,28M","0,27"
2017-05-11,"1.642,02","1.649,04","1.649,17","1.637,88","105,61M","-0,46"
2017-05-10,"1.649,65","1.652,14","1.652,14","1.642,08","88,63M","-0,21"
2017-05-09,"1.653,11","1.640,07","1.654,54","1.640,07","97,68M","0,83"
2017-05-08,"1.639,49","1.642,06","1.645,80","1.629,69","91,16M","-0,16"
2017-05-05,"1.642,04","1.638,33","1.642,04","1.632,33","102,37M","0,23"
2017-05-04,"1.638,33","1.635,69","1.640,71","1.632,91","130,76M","0,27"
2017-05-03,"1.633,99","1.636,50","1.636,50","1.626,43","99,76M","-0,15"
2017-05-02,"1.636,51","1.626,99","1.636,51","1.626,04","110,55M","0,59"
2017-04-28,"1.626,99","1.616,70","1.627,73","1.616,33","121,22M","0,64"
2017-04-27,"1.616,58","1.617,35","1.620,74","1.614,57","114,83M","-0,23"
2017-04-26,"1.620,28","1.617,08","1.621,94","1.608,99","138,65M","0,20"
2017-04-25,"1.617,05","1.609,59","1.620,64","1.606,89","154,90M","0,48"
2017-04-24,"1.609,27","1.574,10","1.609,27","1.574,10","130,11M","2,29"
2017-04-21,"1.573,24","1.568,49","1.578,26","1.567,48","108,03M","0,29"
2017-04-20,"1.568,74","1.565,72","1.571,67","1.560,93","94,24M","0,19"
